Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
3.242450,0.036926,-0.036926,119.999939,119.999939,12.476562,12.226562,12.265625,12.281250,0.187500,0.125000,0.125000,0.156250,
3.262358,0.036926,-0.036926,79.999939,79.999939,12.476562,12.234375,12.273438,12.289062,0.187500,0.093750,0.125000,0.156250,
3.282439,0.036926,-0.036926,79.999939,79.999939,12.476562,12.234375,12.273438,12.289062,0.156250,0.125000,0.125000,0.156250,
3.302306,0.036926,-0.036926,68.571411,68.571411,12.484375,12.234375,12.273438,12.289062,0.187500,0.125000,0.156250,0.156250,
3.322340,0.036926,-0.036926,34.285706,34.285706,12.484375,12.234375,12.273438,12.296875,0.187500,0.125000,0.125000,0.156250,
3.342383,0.030518,-0.030518,34.285706,34.285706,12.484375,12.234375,12.281250,12.289062,0.156250,0.125000,0.156250,0.156250,
3.362329,0.000000,-0.000000,11.428558,11.428558,12.468750,12.234375,12.281250,12.296875,0.000000,0.125000,0.125000,0.156250,
3.382469,0.000000,-0.000000,0.000000,0.000000,12.476562,12.242188,12.289062,12.304688,0.000000,0.000000,0.000000,0.000000,
3.402363,0.000000,-0.000000,0.000000,0.000000,12.476562,12.250000,12.281250,12.296875,0.000000,0.000000,0.000000,0.000000,
3.422688,0.000000,-0.000000,0.000000,0.000000,12.476562,12.242188,12.296875,12.312500,0.000000,0.000000,0.000000,0.000000,
3.442491,0.000000,-0.000000,0.000000,0.000000,12.476562,12.250000,12.289062,12.304688,0.000000,0.000000,0.000000,0.000000,
3.462524,-0.025110,0.025110,0.000000,0.000000,12.492188,12.250000,12.289062,12.304688,0.125000,0.093750,0.000000,0.000000,
3.482538,-0.044640,0.044640,0.000000,0.000000,12.492188,12.242188,12.281250,12.304688,0.156250,0.093750,0.093750,0.093750,
3.502339,-0.052390,0.052390,0.000000,0.000000,12.492188,12.242188,12.289062,12.304688,0.156250,0.093750,0.125000,0.125000,
3.522451,-0.052390,0.052390,0.000000,0.000000,12.492188,12.242188,12.273438,12.304688,0.187500,0.062500,0.093750,0.093750,
3.542342,-0.052390,0.052390,0.000000,0.000000,12.492188,12.242188,12.289062,12.312500,0.187500,0.062500,0.093750,0.125000,
3.562426,-0.044640,0.044640,0.000000,0.000000,12.500000,12.242188,12.289062,12.312500,0.187500,0.062500,0.093750,0.125000,
3.582645,0.000000,-0.000000,0.000000,0.000000,12.492188,12.250000,12.289062,12.312500,0.000000,0.093750,0.125000,0.156250,
3.602341,0.000000,-0.000000,0.000000,0.000000,12.484375,12.265625,12.304688,12.320312,0.000000,0.000000,0.000000,0.000000,
3.622379,0.024719,-0.024719,0.000000,0.000000,12.500000,12.257812,12.296875,12.312500,0.125000,0.000000,0.000000,0.000000,
3.642594,0.036926,-0.036926,0.000000,0.000000,12.500000,12.257812,12.289062,12.312500,0.187500,0.125000,0.093750,0.125000,
3.662641,0.059814,-0.059814,0.000000,0.000000,12.500000,12.250000,12.281250,12.304688,0.093750,0.062500,0.125000,0.156250,
3.682399,0.059814,-0.059814,0.000000,0.000000,12.500000,12.250000,12.304688,12.304688,0.093750,0.062500,0.093750,0.125000,
3.702497,0.059814,-0.059814,0.000000,0.000000,12.500000,12.250000,12.296875,12.304688,0.093750,0.062500,0.093750,0.156250,
3.722346,0.059814,-0.059814,0.000000,0.000000,12.500000,12.250000,12.304688,12.304688,0.093750,0.062500,0.093750,0.125000,
3.742340,0.059814,-0.059814,0.000000,0.000000,12.507812,12.242188,12.289062,12.312500,0.062500,0.062500,0.093750,0.125000,
3.762509,0.059814,-0.059814,0.000000,0.000000,12.507812,12.250000,12.296875,12.304688,0.093750,0.062500,0.093750,0.093750,
3.782557,0.059814,-0.059814,0.000000,0.000000,12.507812,12.250000,12.296875,12.304688,0.093750,0.062500,0.125000,0.125000,
3.802512,0.051575,-0.051575,0.000000,0.000000,12.500000,12.257812,12.304688,12.312500,0.187500,0.062500,0.093750,0.093750,
